Dataset,L1 (Yes/No) AUC,L2 (Logprobs) AUC,Best L3 WB AUC
commonsense_qa,0.727,0.752,"0.868 (Grouped Logistic Regression, L15)"
race,0.585,0.750,"0.628 (Difference in Means, L13)"
arc_easy,0.833,0.875,"0.943 (Grouped Logistic Regression, L15)"
arc_challenge,0.680,0.718,"0.780 (Grouped Logistic Regression, L15)"
open_book_qa,0.738,0.746,"0.870 (Grouped Logistic Regression, L16)"
got_cities,0.951,0.999,"1.000 (Linear Discriminant Analysis, L25)"
got_sp_en_trans,0.910,0.982,"1.000 (Logistic Regression, L31)"
got_larger_than,0.843,0.983,"1.000 (Linear Discriminant Analysis, L14)"
imdb,0.953,0.644,"1.000 (Linear Artificial Tomography, L16)"
amazon_polarity,0.972,0.802,"1.000 (Logistic Regression, L8)"
ag_news,0.818,0.938,"0.981 (Logistic Regression, L8)"
dbpedia_14,0.961,0.989,"1.000 (Logistic Regression, L8)"
rte,0.648,0.633,"0.900 (Grouped Logistic Regression, L24)"
copa,0.456,0.456,"0.463 (Logistic Regression, L1)"
boolq,0.651,0.741,"0.754 (Grouped Logistic Regression, L15)"
